City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
90,Pipar,IN,2022-04-01 01:25:03,26.3856,73.5378,Clear,74.05,12,0,3.8
91,Hobyo,SO,2022-04-01 01:26:03,5.3505,48.5268,Clouds,81.18,77,16,11.86
92,Castro,BR,2022-04-01 01:26:03,-24.7911,-50.0119,Clouds,54.64,98,100,9.15
93,Broken Hill,AU,2022-04-01 01:26:04,-31.95,141.4333,Clouds,65.91,42,40,16.11
94,Vao,NC,2022-04-01 01:26:04,-22.6667,167.4833,Clouds,78.64,87,66,16.06
95,Rocha,UY,2022-04-01 01:26:04,-34.4833,-54.3333,Clouds,54.23,77,94,4.16
96,Beian,NO,2022-04-01 01:26:05,63.6559,9.5683,Clouds,32.0,93,20,3.44
97,Burgos,ES,2022-04-01 01:24:59,42.3394,-3.7079,Clouds,34.21,86,75,12.66
98,Buchanan,LR,2022-04-01 01:26:05,5.8808,-10.0467,Clouds,80.37,86,96,5.88
99,Amahai,ID,2022-04-01 01:26:05,-3.3333,128.9167,Clouds,84.0,67,94,1.25
100,Norman Wells,CA,2022-04-01 01:26:05,65.282,-126.8329,Clouds,-7.56,54,20,18.41
101,Hamilton,US,2022-04-01 01:23:20,39.1834,-84.5333,Clouds,41.63,87,100,11.5
102,Qostanay,KZ,2022-04-01 01:26:06,53.1667,63.5833,Clear,26.89,100,0,2.24
103,Berlevag,NO,2022-04-01 01:26:06,70.8578,29.0864,Snow,27.3,72,100,11.32
104,Pombas,CV,2022-04-01 01:26:06,17.1503,-25.0201,Clouds,67.78,81,45,11.36
105,Dunedin,NZ,2022-04-01 01:26:06,-45.8742,170.5036,Clouds,56.8,49,100,4.03
106,Sevsk,RU,2022-04-01 01:26:07,52.1491,34.4926,Clouds,37.06,98,100,6.53
107,Kahului,US,2022-04-01 01:22:44,20.8947,-156.47,Clouds,82.42,57,40,20.71
108,Tayturka,RU,2022-04-01 01:26:07,52.8692,103.4608,Clouds,25.81,88,74,3.71
109,Cidreira,BR,2022-04-01 01:26:07,-30.1811,-50.2056,Clouds,60.04,69,77,4.36
110,Russell,US,2022-04-01 01:21:49,32.3502,-85.1999,Clear,67.28,64,0,0.0
111,Katsuura,JP,2022-04-01 01:26:08,35.1333,140.3,Rain,39.22,86,100,21.92
112,Hermanus,ZA,2022-04-01 01:26:08,-34.4187,19.2345,Clouds,62.91,70,95,9.46
113,Asau,RO,2022-04-01 01:26:08,46.4333,26.4,Clouds,51.28,79,72,6.22
114,Grand Gaube,MU,2022-04-01 01:26:08,-20.0064,57.6608,Clouds,78.39,78,84,10.0
115,Makakilo City,US,2022-04-01 01:22:35,21.3469,-158.0858,Rain,82.72,61,75,12.66
116,Kodiak,US,2022-04-01 01:22:21,57.79,-152.4072,Rain,40.51,93,100,25.32
117,Javanrud,IR,2022-04-01 01:26:09,34.7961,46.5172,Clear,49.14,53,0,2.24
118,Vestmanna,FO,2022-04-01 01:26:09,62.1564,-7.1664,Clouds,34.72,87,100,11.5
119,Jiuquan,CN,2022-04-01 01:26:09,39.7432,98.5174,Clear,40.35,19,0,1.39
120,Lavrentiya,RU,2022-04-01 01:26:09,65.5833,-171.0,Clouds,19.08,75,100,11.9
121,Rikitea,PF,2022-04-01 01:26:10,-23.1203,-134.9692,Clouds,76.93,70,99,16.82
122,Nikolskoye,RU,2022-04-01 01:26:10,59.7035,30.7861,Clouds,24.8,98,12,1.43
123,Kibaya,TZ,2022-04-01 01:26:10,-5.3,36.5667,Clouds,59.68,94,100,4.76
124,Saint-Philippe,RE,2022-04-01 01:26:11,-21.3585,55.7679,Rain,74.79,84,100,14.85
125,Mantua,IT,2022-04-01 01:26:11,45.1667,10.7833,Clouds,49.24,89,100,3.0
126,Kutum,SD,2022-04-01 01:26:11,14.2,24.6667,Clear,68.88,11,0,6.51
127,Tautira,PF,2022-04-01 01:26:11,-17.7333,-149.15,Clouds,81.73,72,66,12.26
128,Lucera,IT,2022-04-01 01:26:12,41.5082,15.3351,Clouds,51.62,76,100,14.52
129,Porto Novo,BJ,2022-04-01 01:26:12,6.4965,2.6036,Clouds,84.02,84,81,7.52
130,Balykshi,KZ,2022-04-01 01:26:12,47.0667,51.8667,Clear,39.2,87,0,4.47
