City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
217,Trairi,BR,Clouds,74.66,-3.2778,-39.2689,janelas do mar
220,Santarem,BR,Clouds,75.33,-2.4431,-54.7083,Hotel Imperador
224,Puerto Colombia,CO,Clouds,78.89,10.9878,-74.9547,Hotel El Emigrante
228,Buraydah,SA,Clear,70.25,26.326,43.975,Mövenpick Qassim
236,Rincon,US,Clouds,73.36,32.296,-81.2354,Days Inn Rincon
243,Praia,CV,Clear,70.34,14.9215,-23.5087,LT Aparthotel
251,Inhambane,MZ,Clear,75.38,-23.865,35.3833,Oceano
256,Wamba,NG,Clouds,77.32,8.9333,8.6,Roma Zee Guest House Annex
258,Tomatlan,MX,Clouds,73.09,19.9333,-105.25,El Salvial
260,Manzanillo,CU,Rain,78.73,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
269,Labrea,BR,Clouds,74.8,-7.2586,-64.7981,Hotel Novo Horizonte
275,Tezu,IN,Clouds,68.45,27.9167,96.1667,Circuit House
277,Arteaga,MX,Clouds,66.56,18.4667,-102.4167, 
287,Ahipara,NZ,Clouds,72.28,-35.1667,173.1667,Ahipara Holiday Park
291,Quang Ngai,VN,Clouds,73.69,15.1167,108.8,Central Hotel
295,Taiping,MY,Clouds,78.22,4.85,100.7333,Flemington Hotel
297,Oum Hadjer,TD,Clear,79.2,13.2954,19.6966, 
302,Taoudenni,ML,Clouds,76.57,22.6783,-3.9836, 
303,Yilan,TW,Clouds,67.01,24.757,121.753,Dar Chen Hotel
310,Kota Bahru,MY,Clouds,78.75,6.1333,102.2386,Grand Riverview Hotel
311,Esperance,AU,Clouds,71.44,-33.8667,121.9,Hospitality Esperance
313,Bangassou,CF,Clouds,76.95,4.7413,22.8184, 
318,Gat,IL,Clear,71.4,31.61,34.7642,OlusHome
319,Irituia,BR,Rain,72.61,-1.7711,-47.4381,Hotel Irituia
320,Mayo,US,Mist,70.61,38.8876,-76.5119,Resorts Resource Group International
321,Bambous Virieux,MU,Rain,78.22,-20.3428,57.7575,Casa Tia Villa
329,East London,ZA,Rain,66.78,-33.0153,27.9116,Tu Casa
331,Sao Filipe,CV,Clouds,71.22,14.8961,-24.4956,Hotel Xaguate
332,Airai,TL,Clear,73.26,-8.9266,125.4092, 
339,Arua,UG,Clouds,65.82,3.0201,30.9111,Golden Courts Hotel
344,Pompeu,BR,Clouds,70.27,-19.2244,-44.9353, 
345,Mazagao,BR,Rain,78.85,-0.115,-51.2894,Recanto dos Ferreiras
346,Coreau,BR,Clouds,72.73,-3.5333,-40.6567,LOJA E POUSADA CARCARÁ
347,Richards Bay,ZA,Clear,68.85,-28.783,32.0377,BON Hotel Waterfront Richards Bay
348,Denpasar,ID,Rain,78.46,-8.65,115.2167,OYO 3156 Hotel Warta 2
350,Ballina,AU,Clouds,77.18,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
351,La Union,PE,Clouds,74.57,-5.4,-80.75,Los Portales
352,Warrnambool,AU,Clouds,66.81,-38.3833,142.4833,Lady Bay Resort
359,Tura,IN,Clouds,74.84,25.5198,90.2201,Hotel RIKMAN Continental
361,Sechura,PE,Clouds,72.5,-5.5569,-80.8222,Hospedaje Costa Bella
363,Riberalta,BO,Clouds,65.79,-10.9833,-66.1,Hotel Colonial
365,Belmonte,BR,Clear,77.5,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
367,Along,IN,Clouds,66.87,28.1667,94.7667,Hotel West
368,Ajdabiya,LY,Clouds,73.18,30.7554,20.2263,Almadina Hotel
369,Saint-Georges,GD,Clouds,78.48,12.0564,-61.7485,Radisson Grenada Beach Resort
370,Acapulco,MX,Clouds,76.82,16.8634,-99.8901,HS Hotsson Smart Acapulco
393,Half Moon Bay,US,Mist,65.53,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
399,Safford,US,Clear,74.32,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
402,Barwala,IN,Clear,75.97,29.3833,75.9167,Shri mehndi pur bala ji highway fules
404,Pokaran,IN,Clear,79.56,26.9167,71.9167,Motel Pokaran - RTDC
405,Yulara,AU,Clouds,71.44,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
406,Mayumba,GA,Rain,76.17,-3.432,10.6554,LIKWALE LODGE
413,Acari,PE,Clouds,72.16,-15.4311,-74.6158,HOSPEDAJE XIMENA
416,Lingao,CN,Clouds,70.57,19.9103,109.6859,Lingao Ditai Inn
417,Hurricane,US,Clouds,70.27,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
419,Sawakin,SD,Clear,73.51,19.1059,37.3321,فندق الدويم
421,Tibu,CO,Clouds,74.52,8.639,-72.7358,Hotel Yuliana's
425,Basco,PH,Clouds,78.46,20.4487,121.9702,Nathaniel's Lodge
429,Santa Isabel Do Rio Negro,BR,Clouds,73.15,-0.4139,-65.0192,Hotel GSA
431,Baracoa,CU,Clouds,76.51,20.3467,-74.4958,Hostal Rio Miel
433,Jalu,LY,Clouds,75.07,29.0331,21.5482,صاحبة الفخامة
434,Pointe Michel,DM,Clouds,77.29,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
435,Antsohihy,MG,Clouds,73.09,-14.8796,47.9875,Hotel de Ville
440,Hackettstown,US,Rain,66.52,40.854,-74.8291,Quality Inn Hackettstown - Long Valley
