City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
78,Port Alfred,ZA,2022-03-29 17:21:29,-33.5906,26.891,73.18,79,88,3.0
79,Salalah,OM,2022-03-29 17:21:29,17.0151,54.0924,78.89,78,0,5.75
80,Luderitz,NA,2022-03-29 17:21:29,-26.6481,15.1594,65.08,79,47,12.17
81,Makat,KZ,2022-03-29 17:21:30,47.6469,53.3463,39.87,69,2,24.43
82,Yulara,AU,2022-03-29 17:21:30,-25.2406,130.9889,75.04,27,91,6.91
83,Vanderhoof,CA,2022-03-29 17:21:30,54.0166,-124.0198,39.18,63,82,1.23
84,Cockburn Town,TC,2022-03-29 17:21:30,21.4612,-71.1419,78.76,57,40,17.27
85,Vikulovo,RU,2022-03-29 17:21:31,56.8167,70.6107,31.6,97,100,14.79
86,Cabo San Lucas,MX,2022-03-29 17:19:46,22.8909,-109.9124,85.3,16,20,12.66
87,Asyut,EG,2022-03-29 17:14:36,27.181,31.1837,74.01,16,0,9.08
88,Victoria,HK,2022-03-29 17:18:11,22.2855,114.1577,69.94,87,100,3.0
89,Oshawa,CA,2022-03-29 17:19:20,43.9001,-78.8496,33.21,20,0,11.5
90,Airai,TL,2022-03-29 17:21:31,-8.9266,125.4092,60.12,95,99,0.34
91,Flinders,AU,2022-03-29 17:21:31,-34.5833,150.8552,67.28,94,100,5.99
92,Chuy,UY,2022-03-29 17:19:44,-33.6971,-53.4616,84.33,36,0,10.0
93,Lensk,RU,2022-03-29 17:21:32,60.7253,114.9278,3.04,98,50,5.01
94,Willemstad,CW,2022-03-29 17:21:32,12.1084,-68.9335,84.11,70,40,12.66
95,Sandovo,RU,2022-03-29 17:22:32,58.4602,36.4128,18.21,92,100,3.62
96,Wajima,JP,2022-03-29 17:22:33,37.4,136.9,49.48,76,0,7.72
97,Esperance,AU,2022-03-29 17:22:33,-33.8667,121.9,62.83,78,99,12.57
98,Lebu,CL,2022-03-29 17:16:25,-37.6167,-73.65,57.33,52,14,16.4
99,Valparaiso,CL,2022-03-29 17:22:33,-33.0393,-71.6273,80.24,29,0,12.66
100,Dwarahat,IN,2022-03-29 17:22:33,29.7833,79.4333,61.95,21,0,4.09
101,Bell Ville,AR,2022-03-29 17:22:34,-32.6259,-62.6887,87.8,32,4,9.95
102,Collie,AU,2022-03-29 17:22:34,-33.3667,116.15,63.52,82,100,12.03
103,Klaksvik,FO,2022-03-29 17:22:34,62.2266,-6.589,36.52,49,100,19.8
104,Dongsheng,CN,2022-03-29 17:22:34,39.8161,109.9776,38.79,32,2,9.66
105,Grindavik,IS,2022-03-29 17:13:34,63.8424,-22.4338,39.67,75,75,19.57
106,Mukhen,RU,2022-03-29 17:22:35,48.1,136.1,25.43,82,82,10.8
107,Hithadhoo,MV,2022-03-29 17:16:33,-0.6,73.0833,82.53,65,2,5.46
108,Janauba,BR,2022-03-29 17:22:35,-15.8025,-43.3089,93.51,27,35,8.37
109,Quatre Cocos,MU,2022-03-29 17:22:35,-20.2078,57.7625,80.71,74,34,7.81
110,Burns Lake,CA,2022-03-29 17:22:36,54.2331,-125.7533,33.22,74,100,3.42
111,Kalangala,UG,2022-03-29 17:22:36,-0.3089,32.225,72.75,63,73,3.87
112,Cidreira,BR,2022-03-29 17:22:36,-30.1811,-50.2056,78.85,64,0,10.33
113,Faanui,PF,2022-03-29 17:14:37,-16.4833,-151.75,81.75,75,23,17.87
114,Dalbandin,PK,2022-03-29 17:22:36,28.8947,64.4101,70.48,9,0,13.04
115,Iguape,BR,2022-03-29 17:22:37,-24.7081,-47.5553,76.3,80,93,6.58
116,Denpasar,ID,2022-03-29 17:22:37,-8.65,115.2167,78.46,94,20,1.14
117,Tromso,NO,2022-03-29 17:17:57,69.6496,18.957,26.62,86,75,13.8
118,Kaitangata,NZ,2022-03-29 17:22:37,-46.2817,169.8464,52.81,95,56,2.01
119,Mandalgovi,MN,2022-03-29 17:22:38,45.7625,106.2708,26.62,37,60,5.48
120,Nanortalik,GL,2022-03-29 17:13:34,60.1432,-45.2371,32.81,75,48,4.27
121,Man,CI,2022-03-29 17:22:38,7.4125,-7.5538,95.77,30,97,4.81
